original,web,action,bytes_before,bytes_after
CHN-AIR-001-a.jpg,CHN-AIR-001-a.jpg,copy,33972,33972
CHN-AIR-001-b.jpg,CHN-AIR-001-b.jpg,copy,14848,14848
CHN-AIR-002-a.webp,CHN-AIR-002-a.webp,copy,60252,60252
CHN-AIR-002-b.jpg,CHN-AIR-002-b.jpg,copy,49838,49838
CHN-AIR-003-a.webp,CHN-AIR-003-a.webp,copy,36164,36164
CHN-LAND-001-a.webp,CHN-LAND-001-a.webp,copy,37256,37256
CHN-LAND-002-a.webp,CHN-LAND-002-a.webp,copy,20506,20506
CHN-LAND-002-b.jpg,CHN-LAND-002-b.jpg,copy,81054,81054
CHN-SEA-001-a.jpg,CHN-SEA-001-a.jpg,copy,18531,18531
CHN-SEA-002-a.webp,CHN-SEA-002-a.webp,copy,30338,30338
CHN-SEA-003-a.jpg,CHN-SEA-003-a.jpg,copy,29882,29882
CHN-SEA-003-b.jpg,CHN-SEA-003-b.jpg,copy,39109,39109
DEU-AIR-001-a.jpg,DEU-AIR-001-a.jpg,kept-original,49274,49274
DEU-AIR-001-b.webp,DEU-AIR-001-b.webp,copy,172248,172248
DEU-AIR-002-a.jpg,DEU-AIR-002-a.jpg,copy,173224,173224
DEU-AIR-002-b.jpg,DEU-AIR-002-b.jpg,copy,136218,136218
DEU-LAND-001-a.jpg,DEU-LAND-001-a.jpg,copy,30141,30141
DEU-LAND-001-b.jpg,DEU-LAND-001-b.jpg,copy,80386,80386
DEU-LAND-002-a.jpg,DEU-LAND-002-a.jpg,copy,22977,22977
DEU-LAND-002-b.jpg,DEU-LAND-002-b.jpg,copy,167686,167686
DEU-LAND-003-a.jpg,DEU-LAND-003-a.jpg,copy,143514,143514
DEU-LAND-004-a.jpg,DEU-LAND-004-a.jpg,copy,270201,270201
DEU-LAND-004-b.jpg,DEU-LAND-004-b.jpg,copy,140578,140578
FRA-LAND-001-a,FRA-LAND-001-a.avif,ext-fixed,78328,78328
